date,region,store_id,product_id,category,price,units_sold,holiday_flag,promotion_flag,inventory
2024-06-01,Indore,IND_1,P001,Grocery,93.67,193,0,1,285
2024-06-01,Indore,IND_1,P002,Personal Care,47.0,186,0,0,219
2024-06-01,Indore,IND_1,P003,Electronics,140.65,129,0,0,202
2024-06-01,Indore,IND_1,P004,Beverages,198.68,115,0,0,146
2024-06-01,Indore,IND_1,P005,Cleaning,31.2,100,0,0,169
2024-06-01,Indore,IND_2,P001,Grocery,92.28,98,0,0,162
2024-06-01,Indore,IND_2,P002,Personal Care,197.15,92,0,0,119
2024-06-01,Indore,IND_2,P003,Electronics,191.31,116,0,1,215
2024-06-01,Indore,IND_2,P004,Beverages,46.6,174,0,0,191
2024-06-01,Indore,IND_2,P005,Cleaning,35.85,152,0,1,165
2024-06-01,Delhi,DEL_1,P001,Grocery,82.99,148,0,0,175
2024-06-01,Delhi,DEL_1,P002,Personal Care,161.77,93,0,1,150
2024-06-01,Delhi,DEL_1,P003,Electronics,85.51,96,0,0,158
2024-06-01,Delhi,DEL_1,P004,Beverages,129.75,212,0,1,262
2024-06-01,Delhi,DEL_1,P005,Cleaning,80.37,146,0,0,190
2024-06-01,Delhi,DEL_2,P001,Grocery,164.33,103,0,0,140
2024-06-01,Delhi,DEL_2,P002,Personal Care,176.73,79,0,0,176
2024-06-01,Delhi,DEL_2,P003,Electronics,143.21,77,0,0,151
2024-06-01,Delhi,DEL_2,P004,Beverages,95.1,215,0,1,238
2024-06-01,Delhi,DEL_2,P005,Cleaning,113.95,87,0,0,186
2024-06-01,Mumbai,MUM_1,P001,Grocery,34.32,111,0,0,124
2024-06-01,Mumbai,MUM_1,P002,Personal Care,184.29,206,0,0,258
2024-06-01,Mumbai,MUM_1,P003,Electronics,64.52,137,0,1,212
2024-06-01,Mumbai,MUM_1,P004,Beverages,136.14,175,0,0,212
2024-06-01,Mumbai,MUM_1,P005,Cleaning,166.62,73,0,0,171
2024-06-01,Mumbai,MUM_2,P001,Grocery,84.06,181,0,0,217
2024-06-01,Mumbai,MUM_2,P002,Personal Care,102.61,82,0,1,100
2024-06-01,Mumbai,MUM_2,P003,Electronics,112.42,104,0,0,145
2024-06-01,Mumbai,MUM_2,P004,Beverages,118.19,161,0,0,182
2024-06-01,Mumbai,MUM_2,P005,Cleaning,72.8,161,0,0,226
2024-06-02,Indore,IND_1,P001,Grocery,36.27,172,0,0,182
2024-06-02,Indore,IND_1,P002,Personal Care,70.73,115,0,0,179
2024-06-02,Indore,IND_1,P003,Electronics,159.48,108,0,0,187
2024-06-02,Indore,IND_1,P004,Beverages,97.8,201,0,1,283
2024-06-02,Indore,IND_1,P005,Cleaning,84.53,135,0,0,180
2024-06-02,Indore,IND_2,P001,Grocery,32.82,208,0,0,237
2024-06-02,Indore,IND_2,P002,Personal Care,139.68,195,0,0,215
2024-06-02,Indore,IND_2,P003,Electronics,87.98,91,0,0,107
2024-06-02,Indore,IND_2,P004,Beverages,142.2,139,0,1,180
2024-06-02,Indore,IND_2,P005,Cleaning,137.63,155,0,0,183
2024-06-02,Delhi,DEL_1,P001,Grocery,153.41,142,0,1,226
2024-06-02,Delhi,DEL_1,P002,Personal Care,189.06,171,0,0,264
2024-06-02,Delhi,DEL_1,P003,Electronics,128.72,145,0,0,189
2024-06-02,Delhi,DEL_1,P004,Beverages,140.83,87,0,0,129
2024-06-02,Delhi,DEL_1,P005,Cleaning,113.96,190,0,0,232
2024-06-02,Delhi,DEL_2,P001,Grocery,122.23,182,0,0,213
2024-06-02,Delhi,DEL_2,P002,Personal Care,71.48,201,0,1,237
2024-06-02,Delhi,DEL_2,P003,Electronics,165.12,76,0,0,149
2024-06-02,Delhi,DEL_2,P004,Beverages,176.91,80,0,0,119
2024-06-02,Delhi,DEL_2,P005,Cleaning,192.17,185,0,1,231
2024-06-02,Mumbai,MUM_1,P001,Grocery,187.81,131,0,0,227
